Date,equity,buy_hold_equity,drawdown_%
2007-09-18,1.0,1.0,0.0
2007-09-19,1.0,1.040946261569318,0.0
2007-09-20,1.0,1.0442896486570494,0.0
2007-09-21,1.0,1.0640864011390008,0.0
2007-09-24,1.0,1.0849060717559245,0.0
2007-09-25,1.0,1.086368810319573,0.0
2007-09-26,1.0,1.086731729300891,0.0
2007-09-27,1.0,1.0999405195229794,0.0
2007-09-28,1.0,1.1045158334280285,0.0
2007-10-01,1.0,1.1149861373326673,0.0
2007-10-03,1.0,1.1461879329599822,0.0
2007-10-04,1.0,1.1457150320204312,0.0
2007-10-05,1.0,1.140699897686706,0.0
2007-10-08,1.0,1.1185385331027438,0.0
2007-10-09,1.0,1.1718027739941645,0.0
2007-10-10,1.0,1.1969226962162984,0.0
2007-10-11,1.0,1.2152676653687222,0.0
2007-10-12,1.0,1.1940191295572433,0.0
2007-10-15,1.0,1.247283370448664,0.0
2007-10-16,1.0,1.2467664337641176,0.0
2007-10-17,1.0,1.2228453578484264,0.0
2007-10-18,1.0,1.177026917010235,0.0
2007-10-19,0.9719401456385897,1.1471777705840793,-2.805985436141034
2007-10-22,0.9661070127669021,1.140292942960392,-3.389298723309786
2007-10-23,1.0191303714739168,1.2040165325223309,0.0
2007-10-24,1.0191303714739168,1.208954658004442,0.0
2007-10-25,1.0191303714739168,1.2249680955657294,0.0
2007-10-26,1.0191303714739168,1.2543001979030821,0.0
2007-10-29,1.0191303714739168,1.2990848727764366,0.0
2007-10-30,1.0191303714739168,1.2909132347605712,0.0
2007-10-31,1.0191303714739168,1.2979300622149892,0.0
2007-11-01,1.0191303714739168,1.2904073607144013,0.0
2007-11-02,1.0191303714739168,1.3049139165627888,0.0
2007-11-05,1.0191303714739168,1.2861949657906704,0.0
2007-11-06,1.0191303714739168,1.2728212026312324,0.0
2007-11-07,1.0191303714739168,1.2719083738587493,0.0
2007-11-08,1.0191303714739168,1.25351936896133,0.0
2007-11-12,1.0191303714739168,1.2355593366627222,0.0
2007-11-13,1.0191303714739168,1.2527824683603173,0.0
2007-11-14,1.0191303714739168,1.3061237181033525,0.0
2007-11-15,1.0191303714739168,1.300448692020229,0.0
2007-11-16,1.0191303714739168,1.2992938814587818,0.0
2007-11-19,1.0191303714739168,1.2994698096302524,0.0
2007-11-20,1.0191303714739168,1.271589383218171,0.0
2007-11-21,0.9797095580733064,1.2232302947022422,-3.8680834664556296
2007-11-22,0.9723631751092595,1.2140578638281585,-4.58893166896992
2007-11-23,0.9871142960116241,1.2336896433727602,-3.141509306212653
2007-11-26,0.9871142960116241,1.2607672229705915,-3.141509306212653
2007-11-27,0.9871142960116241,1.2533873691305992,-3.141509306212653
2007-11-28,0.9871142960116241,1.2356582559825784,-3.141509306212653
2007-11-29,0.9871142960116241,1.2394087052008795,-3.141509306212653
2007-11-30,0.9871142960116241,1.2675970596151622,-3.141509306212653
2007-12-03,0.9871142960116241,1.2900883700738235,-3.141509306212653
2007-12-04,0.9871142960116241,1.288625631510175,-3.141509306212653
2007-12-05,0.9871142960116241,1.306585663808783,-3.141509306212653
